city,team1,team2,toss_winner,toss_decision,winner,first_innings_score,second_innings_score
5,5,3,5,2,3.0,0.7938781460016402,0.6080768777884903
6,6,0,6,2,6.0,0.7012872659320248,0.7128787909887525
1,1,8,1,2,8.0,0.7439788198674288,0.6682031993253759
9,9,7,7,1,9.0,0.7015610998395336,0.7126093061362192
6,6,1,1,2,1.0,0.7021448105364912,0.7120341740651742
9,9,8,8,2,9.0,0.7341682274289241,0.6789676088252455
7,7,5,7,1,5.0,0.7027820897865867,0.7114051829128025
-1,1,3,3,1,3.0,0.7494351887982501,0.662077712803362
8,0,5,5,2,0.0,0.7837075886445707,0.6211299505746863
0,1,0,1,2,0.0,0.8537546672667796,0.5206754921447624
0,3,0,0,1,3.0,0.7034143927642639,0.7107799885000153
3,3,1,3,2,3.0,0.7016467397821332,0.7125249838097633
8,8,5,5,2,8.0,0.7138945333414656,0.7002532365260236
1,1,7,7,1,7.0,0.7199990802746611,0.6939750171322034
0,0,5,5,1,5.0,0.7312184423172438,0.6821433790744756
9,9,8,8,1,9.0,0.70172977504731,0.7124432067274217
7,7,3,3,2,7.0,0.7574099616005768,0.6529396220694628
5,5,1,5,1,5.0,0.7863183388224226,0.6178215519319036
8,8,9,9,1,8.0,0.7027554777966536,0.7114314713496986
6,6,0,0,2,0.0,0.7020381095567656,0.7121393773201723
8,8,3,8,2,8.0,0.7025596109834729,0.7116248962864855
1,1,9,1,1,9.0,0.7009849862549792,0.7131760294941962
0,0,8,0,2,0.0,0.7028600079314319,0.7113282007980757
3,3,9,3,1,3.0,0.8079632559066579,0.5892328717109327
7,7,6,7,2,7.0,0.7014727307159014,0.7126962944073558
6,6,3,3,2,6.0,0.7183822213408705,0.6956486067414759
8,8,1,8,2,8.0,0.7025003681833333,0.7116833795321351
7,7,5,7,1,7.0,0.8904346821960806,0.4551110597891078
1,1,0,0,1,0.0,0.8986159845236752,0.43873603950273554
9,9,6,6,1,9.0,0.7014274816167628,0.7127408280944525
3,3,0,3,1,0.0,0.7012389761168877,0.7129262923855025
8,8,7,8,2,8.0,0.7011399518137406,0.7130236798105836
1,1,5,5,1,1.0,0.7027554777966536,0.7114314713496986
0,0,7,7,1,0.0,0.7033154053030363,0.7108779365428538
1,1,6,6,2,6.0,0.7012872659320248,0.7128787909887525
3,3,5,3,1,5.0,0.702701259061168,0.7114850247994325
0,0,9,9,1,0.0,0.702701259061168,0.7114850247994325
3,3,6,6,1,3.0,0.7024085519692114,0.7117739993288008
7,7,9,9,1,7.0,0.7022471119478896,0.7119332790092399
5,5,8,5,1,5.0,0.8202187498558209,0.5720499998994443
0,0,3,3,2,0.0,0.7339629064618474,0.6791895552333513
7,7,8,7,2,7.0,0.7030077142592762,0.7111822225646166
5,5,6,5,1,5.0,0.7172793808592269,0.696785684263249
9,9,5,5,1,9.0,0.7016885755159995,0.7124837843700919
-1,1,3,3,1,1.0,0.7019643891790419,0.7122120444955242
0,0,6,0,1,0.0,0.7379726582280446,0.6748306126042547
3,3,7,7,1,3.0,0.7018103226793718,0.7123638613662797
9,9,1,1,1,9.0,0.6984315939659476,0.7156768185083165
5,5,0,5,1,5.0,0.8709102013239778,0.49144218503281606
6,6,8,6,2,6.0,0.7034143927642639,0.7107799885000153
7,7,1,1,1,7.0,0.7025596109834729,0.7116248962864855
5,5,3,5,1,5.0,0.8521712257191477,0.5232630333363187
9,9,0,9,2,0.0,0.8377593720158102,0.5460395906888763
6,6,7,7,2,7.0,0.702280281445106,0.7119005592731212
1,1,8,1,2,8.0,0.7167785514883113,0.6973008734587376
6,6,9,6,2,9.0,0.7828880069039224,0.6221626544931833
-1,3,8,3,2,3.0,0.7010375280810152,0.7131243820134464
7,7,0,7,2,7.0,0.7021448105364912,0.7120341740651742
5,5,9,9,1,5.0,0.7031675589124661,0.7110241796824377
8,8,6,6,2,6.0,0.7030777803619778,0.7111129549946862
0,0,1,0,1,0.0,0.7813196491417566,0.6241310806753677
5,5,7,7,2,5.0,0.7395391838567011,0.6731135086599914
6,6,1,1,2,6.0,0.7237375449666366,0.6900753335728395
9,9,7,9,1,9.0,0.7714423784498996,0.6362991880645157
6,6,5,5,2,6.0,0.8104468731827058,0.5858121420288036
8,8,0,0,2,8.0,0.7937257399548533,0.6082758007130652
9,9,3,3,1,9.0,0.70172977504731,0.7124432067274217
1,0,5,0,1,0.0,0.8014925285656475,0.5980047881526074
1,7,9,9,1,7.0,0.7018103226793718,0.7123638613662797
3,5,7,7,1,5.0,0.7028600079314319,0.7113282007980757
3,0,5,5,1,5.0,0.7661098731625238,0.6427096251363454
-1,5,3,3,1,3.0,0.802342191251423,0.5968643130041074
-1,1,8,8,2,8.0,0.702280281445106,0.7119005592731212
-1,0,6,0,1,6.0,0.7036825952557098,0.7105144651125613
-1,9,7,7,2,7.0,0.7018496983061259,0.7123250669375606
-1,8,5,8,2,8.0,0.7010375280810152,0.7131243820134464
-1,3,1,3,1,1.0,0.7028853604521851,0.7113031492001155
-1,7,6,6,2,6.0,0.7034335732294192,0.7107610062838924
-1,0,1,0,1,0.0,0.9043576030744216,0.42677549808006415
-1,6,9,9,2,6.0,0.8484893615615069,0.5292124368502182
-1,7,0,7,2,0.0,0.7274422395428889,0.686168920987264
-1,8,3,8,2,3.0,0.7141655514309605,0.699976831866107
-1,9,1,9,1,9.0,0.7167259309091052,0.6973549598034536
-1,0,5,5,1,0.0,0.7021448105364912,0.7120341740651742
-1,7,8,7,2,7.0,0.6972186097474783,0.7168585705854353
-1,3,6,3,2,6.0,0.7734388423665433,0.6338709309620543
-1,1,5,5,1,1.0,0.7015172645143206,0.7126524591891511
-1,9,0,9,1,0.0,0.702280281445106,0.7119005592731212
-1,6,8,6,2,6.0,0.7014727307159014,0.7126962944073558
-1,3,7,7,1,7.0,0.7025003681833333,0.7116833795321351
-1,5,9,5,2,9.0,0.7405208562586175,0.6720333782231385
-1,0,3,0,1,0.0,0.7942065131733381,0.6076479362534265
5,5,6,6,1,5.0,0.7029351681296114,0.7112539275157607
1,1,7,7,2,7.0,0.7025003681833333,0.7116833795321351
8,8,9,8,2,8.0,0.7025886646132301,0.7115962115954511
2,7,3,3,2,7.0,0.7302026886566485,0.6832305858775658
1,1,0,0,2,0.0,0.7031675589124661,0.7110241796824377
5,5,8,8,2,5.0,0.7456561006171789,0.666330983530245
1,1,3,1,1,3.0,0.7027285362744408,0.7114580833089058
-1,6,0,0,2,6.0,0.7785717116011385,0.6275556468509177
2,7,9,7,2,9.0,0.7978673239222394,0.6028330891856919
8,8,6,8,2,6.0,0.7679048892320215,0.640563877449827
1,1,9,9,2,9.0,0.6908577715463126,0.7229906911531179
5,5,0,0,2,0.0,0.7026456721493012,0.7115399211638492
-1,6,3,3,2,3.0,0.7024085519692114,0.7117739993288008
8,8,7,8,1,7.0,0.7034143927642639,0.7107799885000153
9,9,5,9,1,5.0,0.7026456721493012,0.7115399211638492
-1,0,7,7,1,0.0,0.7023771277714427,0.7118050086811265
8,8,1,1,2,8.0,0.7399400733959437,0.6726727939963124
9,9,6,6,2,6.0,0.7036825952557098,0.7105144651125613
-1,3,5,3,2,3.0,0.7021448105364912,0.7120341740651742
2,7,1,1,2,7.0,0.8238038641890475,0.5668749362488991
-1,0,8,0,1,8.0,0.7020381095567656,0.7121393773201723
9,9,3,9,1,3.0,0.702179386223622,0.7120000769400363
2,7,5,5,1,5.0,0.7601551737556986,0.6497415730984463
1,1,6,6,2,6.0,0.7028343490605733,0.7113535532916105
9,9,8,8,1,9.0,0.7027285362744408,0.7114580833089058
3,3,0,3,2,3.0,0.7025596109834729,0.7116248962864855
6,6,5,5,2,5.0,0.7026173493413279,0.7115678888233831
3,3,8,8,2,3.0,0.7650124042203036,0.6440155443691331
-1,0,9,9,2,9.0,0.7033154053030363,0.7108779365428538
5,5,1,1,2,5.0,0.7403249966411385,0.6722491348810338
6,6,7,7,2,6.0,0.7412430315582571,0.6712367452444217
8,8,0,0,2,0.0,0.7025596109834729,0.7116248962864855
3,3,9,3,2,3.0,0.7027285362744408,0.7114580833089058
6,6,1,6,2,6.0,0.7010375280810152,0.7131243820134464
5,5,7,5,2,5.0,0.703395010941708,0.7107991689516207
3,6,3,6,2,3.0,0.7720661109338305,0.6355422254638239
5,0,5,0,2,0.0,0.703054692658077,0.7111357810794342
5,0,6,0,2,6.0,0.7470460675191091,0.6647722715368284
8,3,6,3,2,3.0,0.7035801295960805,0.7106159308920413
3,3,5,3,2,3.0,0.7029351681296114,0.7112539275157607
0,0,1,1,2,0.0,0.7118050086811265,0.7023771277714427
-1,6,7,6,2,7.0,0.7678350214826389,0.6406476252861282
0,0,9,0,1,0.0,0.788138157680406,0.6154983707599361
3,3,8,8,2,8.0,0.7031454914691535,0.7110460026092563
1,1,7,7,2,7.0,0.7032949675016306,0.710898156339486
5,5,6,5,2,6.0,0.7457889622143791,0.6661822752364397
8,8,9,9,2,9.0,0.7028853604521851,0.7113031492001155
2,7,5,5,1,7.0,0.7028343490605733,0.7113535532916105
-1,6,1,6,1,1.0,0.7028600079314319,0.7113282007980757
-1,9,7,7,2,7.0,0.7016042529953588,0.7125668194484112
5,5,0,5,1,0.0,0.7032743081666771,0.7109185941250106
-1,9,1,1,1,1.0,0.7177062728502942,0.6963459671107021
-1,6,3,3,2,3.0,0.7025886646132301,0.7115962115954511
2,7,0,0,1,7.0,0.7026173493413279,0.7115678888233831
8,8,5,8,2,5.0,0.7397806514893724,0.6728481163546197
1,1,3,3,2,3.0,0.7023130012327302,0.7118682801610667
2,7,6,6,2,6.0,0.7034335732294192,0.7107610062838924
-1,9,3,3,2,9.0,0.7597108803759876,0.650261007779447
8,8,0,8,2,0.0,0.7633862853691146,0.6459422414661738
1,1,5,5,2,1.0,0.7804699938203682,0.6251932411231221
2,7,8,8,2,8.0,0.70172977504731,0.7124432067274217
5,5,9,5,1,5.0,0.7555312842968392,0.6551125692953607
0,0,6,0,1,0.0,0.8971990145224813,0.4416264579255737
1,1,8,8,2,8.0,0.6997798348164428,0.7143585813751188
6,6,9,6,2,9.0,0.7578377314793198,0.6524430800815336
0,0,3,3,2,0.0,0.7150066690130576,0.6991176319238787
3,3,0,3,2,3.0,0.7028600079314319,0.7113282007980757
1,1,6,1,2,1.0,0.7011898782285618,0.7129745820643361
5,5,7,7,2,5.0,0.7242295366495236,0.6895589737248123
8,8,3,8,2,8.0,0.7008217572776737,0.713336431514775
9,9,0,0,2,9.0,0.7504049106783742,0.6609784187322467
6,6,5,5,1,5.0,0.7577086421190125,0.6525929923452767
